Rtoe_off,Rfeet_adjacent,Ltoe_off,Lfeet_adjacent
81,98,30,42
182,192,137,145
275,284,231,237
364,373,323,329
450,459,410,416
536,544,496,502
621,629,581,587
708,716,666,675
802,812,756,769
895,905,852,860
985,992,942,948
1074,1082,1030,1038
1162,1170,1119,1127
1250,1261,1208,1216
1338,1345,1296,1303
1426,1436,1382,1390
1515,1524,1473,1480
1605,1615,1562,1568
1695,1707,1653,1658
1790,1803,1744,1752
1885,1894,1841,1847
1975,1985,1932,1938
2066,2077,2023,2029
2158,2168,2115,2120
2248,2259,2206,2210
2340,2352,2297,2302
2432,2443,2389,2396
2525,2538,2482,2487
2616,2627,2575,2580
2707,2722,2665,2672
2808,2817,2762,2770
2902,2919,2856,2864
3006,3018,2959,2968
3100,3110,3057,3063
3193,3202,3148,3156
3287,3297,3241,3249
3383,3395,3337,3345
3480,3495,3434,3441
3580,3591,3533,3541
3675,3688,3630,3636
3774,3786,3726,3736
3870,3880,3824,3831
3964,3978,3918,3925
4062,4073,4015,4022
4157,4168,4112,4118
4251,4262,4205,4212
4346,4357,4300,4308
4443,4454,4396,4403
4538,4547,4492,4500
4632,4640,4585,4593
4725,4737,4679,4686
4821,4832,4775,4782
4919,4932,4871,4885
5020,5033,4971,4987
5114,5116,5143,5084
5211,5220,5273,5296
5330,5344,5380,5387
5423,5432,5470,5475
5514,5527,5564,5570
5610,5619,5659,5664
5703,5714,5752,5761
5799,5809,5848,5855
5893,5906,5945,5952
5990,6005,6042,6048
6087,6097,6136,6143
6183,6196,6233,6241
6278,6289,6328,6337
6375,6388,6426,6436
6471,6483,6522,6534
6574,6590,6627,6633
6666,6673,6731,6750
6788,6802,6836,6844
6881,6892,6931,6938
6977,6988,7026,7034
7075,7085,7124,7132
7173,7186,7224,7232
7272,7284,7321,7330
7369,7381,7420,7432
7471,7486,7524,7535
7578,7594,7634,7648
7689,7703,7740,7750
7791,7804,7840,7849
7889,7899,7937,7944
7982,7992,8029,8037
8075,8085,8124,8132
8170,8185,8221,8232
8269,8279,8317,8326
8363,8375,8412,8418
8456,8468,8505,8512
8551,8560,8597,8604
8643,8654,8692,8699
8737,8748,8785,8792
8829,8841,8879,8885
8923,8934,8973,8980
9021,9035,9075,9082
9122,9135,9173,9181
9221,9231,9270,9280
9319,9332,9370,9377
9417,9429,9469,9477
9514,9528,9564,9573
9611,9623,9662,9911
9703,9709,9828,10011
9806,9832,9989,10114
9936,9949,10105,10209
10050,10065,10202,10307
10153,10164,10299,10400
10250,10261,10393,10491
10345,10354,10486,10586
10437,10448,10579,10685
10531,10540,10677,10782
10627,10639,10773,10876
10725,10735,10869,10972
10821,10833,10963,11066
10915,10924,11060,11162
11008,11022,11155,11258
11104,11118,11250,11351
11201,11212,11343,11447
11296,11306,11439,11538
11390,11401,11530,11631
11485,11494,11624,11727
11578,11587,11718,11824
11671,11682,11815,11924
11767,11777,11916,12023
11865,11877,12013,12122
11964,11976,12110,12555
12061,12070,12209,12639
12159,12169,12398,12739
12281,12297,12494,12845
12388,12397,12627,12942
12475,12510,12727,13040
12579,12592,12834,13135
12676,12688,12935,13232
12781,12797,13032,13334
12885,12896,13128,13438
12984,12995,13222,13545
13080,13091,13322,13649
13174,13185,13430,13747
13272,13282,13534,13845
13375,13391,13638,13942
13479,13494,13738,14040
13585,13598,13837,14141
13687,13699,13935,14241
13786,13797,14032,14339
13884,13896,14133,14439
13981,13993,14233,14537
14080,14094,14332,14636
14181,14194,14430,14736
14282,14294,14528,14836
14379,14391,14627,14949
14478,14489,14728,15058
14576,14588,14826,15160
14675,14689,14935,15260
14775,14786,15045,15356
14876,14894,15148,15453
14989,15005,15252,15549
15097,15112,15348,15647
15200,15213,15444,15745
15299,15311,15541,15842
15396,15408,15638,15936
15494,15504,15735,16036
15589,15598,15833,16139
15686,15698,15928,16240
15783,15795,16027,16340
15880,15890,16129,16438
15976,15989,16232,16536
16076,16091,16330,16634
16180,16194,16430,16733
16280,16292,16527,16832
16379,16391,16625,16930
16477,16489,16723,17030
16577,16587,16820,17130
16673,16686,16919,17215
16773,16782,17020,17295
16870,16879,17122,17388
16969,16982,17222,17650
17070,17082,17332,18104
17167,17181,17429,18227
17280,17296,17520,18336
17379,17390,17657,18449
